9
1
-1	-1	-1	-1	70	-1	-1	-1	48	79	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	39	-1	-1	-1	35	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	56	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	3	-1	12	
-1	-1	-1	17	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	62	-1	28	-1	-1	-1	-1	-1	75	-1	-1	-1	-1	29	-1	-1	20	-1	-1	-1	-1	68	27	-1	38	-1	-1	-1	74	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	65	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	4	-1	
-1	-1	-1	-1	-1	56	3	65	-1	-1	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	71	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	50	81	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	51	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	39	-1	-1	-1	-1	-1	-1	-1	-1	76	-1	-1	
-1	-1	-1	-1	59	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	28	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	71	-1	-1	-1	-1	-1	-1	-1	65	-1	-1	-1	-1	-1	-1	-1	
7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	70	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	52	78	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	-1	-1	-1	-1	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	52	-1	-1	39	-1	-1	-1	49	27	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	74	-1	-1	-1	-1	-1	-1	-1	8	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	57	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	72	-1	-1	-1	-1	-1	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	-1	32	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	12	-1	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	80	-1	-1	-1	67	-1	-1	-1	23	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	58	-1	-1	-1	-1	-1	55	-1	-1	21	-1	60	-1	-1	-1	-1	74	40	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	-1	78	-1	50	-1	-1	
-1	-1	-1	78	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	64	7	-1	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	52	6	-1	-1	-1	25	-1	62	-1	56	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	81	-1	-1	-1	-1	-1	-1	78	-1	-1	22	-1	-1	21	-1	-1	-1	-1	55	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	27	-1	57	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80	36	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	
-1	-1	17	-1	-1	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66	33	49	67	-1	-1	-1	-1	12	-1	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	54	-1	61	-1	-1	-1	48	-1	-1	-1	-1	-1	-1	-1	69	-1	-1	16	-1	-1	45	-1	-1	-1	37	-1	-1	51	
-1	-1	-1	-1	-1	-1	43	70	-1	-1	-1	-1	-1	18	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	25	-1	-1	-1	-1	-1	17	-1	-1	-1	53	-1	-1	-1	33	56	-1	-1	-1	-1	-1	-1	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	2	-1	-1	-1	-1	64	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	50	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	-1	1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	
-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	-1	-1	61	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	56	62	-1	-1	-1	53	-1	-1	-1	-1	-1	-1	-1	55	-1	-1	57	-1	-1	
53	47	-1	-1	-1	-1	-1	64	65	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	79	-1	-1	56	-1	-1	-1	38	-1	-1	54	-1	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	33	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	34	-1	-1	-1	38	-1	-1	28	68	74	-1	-1	-1	79	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	64	-1	-1	-1	15	-1	-1	-1	26	42	-1	32	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	65	-1	-1	39	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	12	-1	-1	32	-1	-1	-1	26	60	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	35	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
